activity_nr,standard,issuance_date,initial_penalty,sic_code,naics_code,sector
306989211,19100037 B06,2003-10-23,600.0,,,Unknown
306989229,19100037 B06,2003-10-24,600.0,,,Unknown
306989229,19100037 A03,2003-10-24,600.0,,,Unknown
306989229,19100037 H01,2003-10-24,600.0,,,Unknown
306989328,19100037 B04,2003-10-29,1500.0,,,Unknown
306989328,19100037 B05,2003-10-29,1500.0,,,Unknown
306989385,19100037 A03,2003-10-30,750.0,,,Unknown
306989427,19100037 A03,2003-10-30,750.0,,,Unknown
306989468,19100037 B05,2003-11-04,1250.0,,,Unknown
306989468,19100037 B04,2003-11-04,1250.0,,,Unknown
306989476,19100037 B06,2003-11-08,600.0,,,Unknown
306990045,19100037 B07,2003-11-06,1750.0,,,Unknown
306990102,19100037 B04,2003-12-22,,,,Unknown
306990102,19100037 B02,2003-12-22,600.0,,,Unknown
306990128,19100037 B06,2003-11-18,450.0,,,Unknown
306990144,19100037 F04,2003-11-18,450.0,,,Unknown
306990177,19100037 Q06,2003-11-18,450.0,,,Unknown
306990185,19100037 A03,2003-11-17,750.0,,,Unknown
306990243,19100037 A03,2003-11-25,600.0,,,Unknown
306990284,19260056 A,2003-11-25,1000.0,,,Unknown
306990383,19100037 B06,2003-12-04,450.0,,,Unknown
306995937,19100037 K02,2003-09-16,,,,Unknown
306995937,19100037 Q01,2003-09-16,,,,Unknown
306995978,19100037 Q02,2003-10-17,,,,Unknown
306996059,19100037 A03,2003-09-23,,,,Unknown
306996059,19100037 B05,2003-09-23,,,,Unknown
306996125,19100037 B06,2003-09-26,,,,Unknown
306996125,19100037 A03,2003-09-26,,,,Unknown
306996182,19100037 A03,2003-10-01,,,,Unknown
306996182,19100037 B05,2003-10-01,,,,Unknown
306996273,19100037 B05,2003-10-07,,,,Unknown
306996273,19100037 A03,2003-10-20,1200.0,,,Unknown
306996281,19100037 A03,2003-10-07,,,,Unknown
306996414,19100037 A03,2003-10-28,225.0,,,Unknown
306996414,19100037 B05,2003-10-28,,,,Unknown
306996521,19100037 B04,2004-02-12,1500.0,,,Unknown
306996521,19100037 B02,2004-02-12,1500.0,,,Unknown
306996521,19100037 A03,2004-02-12,1500.0,,,Unknown
306996547,19100037 A03,2003-12-29,1000.0,,,Unknown
306996554,19100037 B02,2003-12-29,600.0,,,Unknown
306996554,19100037 B06,2003-12-29,600.0,,,Unknown
306996554,19100037 A03,2003-12-29,1000.0,,,Unknown
306996679,19100037 A03,2004-06-02,375.0,,,Unknown
306996679,19100037 B04,2004-06-02,375.0,,,Unknown
306996794,19100037 B01,2004-02-13,2500.0,,,Unknown
306996794,19100037 B02,2004-02-13,2500.0,,,Unknown
306996794,19100037 B06,2004-02-13,2500.0,,,Unknown
306997008,19100037 A03,2004-01-22,600.0,,,Unknown
306997008,19100037 A04,2004-01-22,350.0,,,Unknown
306997040,19100037 A03,2004-01-22,800.0,,,Unknown
306997040,19100037 B02,2004-01-22,800.0,,,Unknown
306997040,19100037 B04,2004-01-22,800.0,,,Unknown
306997040,19100037 B05,2004-01-22,800.0,,,Unknown
306997040,19100037 B06,2004-01-22,800.0,,,Unknown
306997180,19260056 A,2004-02-02,600.0,,,Unknown
306997206,19100037 B05,2004-02-10,1000.0,,,Unknown
306997263,19100037 A03,2004-02-11,600.0,,,Unknown
306997263,19100037 B02,2004-02-11,600.0,,,Unknown
306998162,19100037 B06,2004-04-01,800.0,,,Unknown
306998162,19100037 A03,2004-04-01,600.0,,,Unknown
306998352,19100037 A03,2004-02-26,1000.0,,,Unknown
306998352,19100037 B06,2004-02-26,600.0,,,Unknown
306998378,19100037 B04,2004-03-18,,,,Unknown
306998378,19100037 B02,2004-03-18,2250.0,,,Unknown
306998451,19100037 A04,2004-03-17,1600.0,,,Unknown
306998865,19100037 A03,2004-01-30,,,,Unknown
306999533,19100037 A03,2004-06-02,2125.0,,,Unknown
306999723,19100037 B01,2004-05-06,1350.0,,,Unknown
306999723,19100037 B04,2004-05-06,1250.0,,,Unknown
307001115,19100037 B05,2003-10-10,,,,Unknown
307003046,19100037 Q01,2004-03-11,,,,Unknown
307003996,19100037 A03,2004-09-20,1083.0,,,Unknown
307003996,19100037 B04,2004-09-20,,,,Unknown
307003996,19100037 F06,2004-09-20,1275.0,,,Unknown
307004473,19100037 A03,2004-05-20,,,,Unknown
307004515,19100037 Q02,2004-05-12,,,,Unknown
307005801,19100037 F06,2004-09-29,225.0,,,Unknown
307008193,19100037 A04,2005-12-07,,,,Unknown
